ID_NOTICE_CAN,ISO_COUNTRY_CODE,WIN_COUNTRY_CODE,AWARD_VALUE_EURO
2019480073,MK,,
2019212970,FR,FR,36025
2019292169,IT,IT---IT,2410480.44
2019466138,PL,PL,16220.39
2019231805,RO,RO---RO,8193.37
201944546,PL,PL,83306.85
2019427725,RO,RO,456492.27
201935107,FR,FR,1
2019459457,PL,,
2019364253,SI,SI,143
2019468352,GR,GR,8740
201959839,LT,,
2019566274,RO,RO,1237.86
2019436665,RO,RO,475597.75
20196499,PL,,
2019223215,FI,FI,1084982
2019136171,RO,,
2019107486,RO,RO,202.31
2019571146,RO,,
2019181594,FR,FR,45000
201946525,DE,DE,0.01
2019609137,PL,PL,14839.91
201921367,CZ,CZ,1247.82
2019526797,DE,,
2019469309,LT,,
2019485640,RO,RO---RO---RO,16690.2
2019597870,SE,SE,755493.86
2019470421,BE,BE,7700000
2019199606,SI,SI,1325.75
2019251906,ES,,
2019193802,RO,,
2019329275,FR,FR,2000
2019441490,PL,PL,18917.54
2019409380,BG,BG,6677.57
2019398222,DE,,
2019469314,DK,DK,314524.99
201949957,NL,NL,1
2019349340,RO,,
2019132016,UK,UK,4439.32
2019303344,FR,FR,13008534
2019172570,RO,,
2019340389,ES,ES,45000
2019456291,PL,PL,141.57
2019388566,UK,,
2019191713,SI,,
2019473216,DE,DE,26997.76
2019391071,ES,ES,119128
2019388791,PL,PL,30117.31
201955305,ES,ES,13627.5
2019571412,PL,PL,87258
2019268310,RO,,
2019124305,PL,,
2019496271,HR,,
2019496304,RO,RO,72741.45
2019410115,BG,BG,42611.62
2019447778,RO,,
2019515784,PL,PL,95143.68
